0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.09000000171363354
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.10000000149011612
215,0.0
216,0.10000000149011612
217,0.10000000149011612
218,0.0
219,0.0
220,0.0
221,0.10000000149011612
222,0.0
223,0.10000000149011612
224,0.0
225,0.0
226,0.0
227,0.09000000171363354
228,0.09000000171363354
229,0.10000000149011612
230,0.09000000171363354
231,0.0
232,0.09000000171363354
233,0.0
234,0.0
235,0.10000000149011612
236,0.0
237,0.0
238,0.10000000149011612
239,0.10000000149011612
240,0.0
241,0.0
242,0.10000000149011612
243,0.10000000149011612
244,0.10000000149011612
245,0.10000000149011612
246,0.10000000149011612
247,0.10000000149011612
248,0.10000000149011612
249,0.10000000149011612
250,0.0
251,0.09000000171363354
252,0.10000000149011612
253,0.10000000149011612
254,0.10000000149011612
255,0.10000000149011612
256,0.10000000149011612
257,0.0
258,0.10000000149011612
259,0.0
260,0.10000000149011612
261,0.10000000149011612
262,0.10000000149011612
263,0.10000000149011612
264,0.10000000149011612
265,0.10000000149011612
266,0.0
267,0.10000000149011612
268,0.20000000298023224
269,0.10000000149011612
270,0.10000000149011612
271,0.10000000149011612
272,0.09000000171363354
273,0.10000000149011612
274,0.10000000149011612
275,0.10000000149011612
276,0.10000000149011612
277,0.09000000171363354
278,0.09000000171363354
279,0.5000000074505806
280,0.0
281,0.20000000298023224
282,0.10000000149011612
283,0.4000000059604645
284,0.30000000447034836
285,0.10000000149011612
286,0.10000000149011612
287,0.30000000447034836
288,0.20000000298023224
289,0.20000000298023224
290,0.10000000149011612
291,0.10000000149011612
292,0.0
293,0.0
294,0.6000000089406967
295,0.5000000074505806
296,0.10000000149011612
297,0.19000000320374966
298,0.0
299,0.0
300,0.10000000149011612
301,0.10000000149011612
302,0.09000000171363354
303,0.20000000298023224
304,0.30000000447034836
305,0.10000000149011612
306,0.10000000149011612
307,0.10000000149011612
308,0.10000000149011612
309,0.800000011920929
310,0.10000000149011612
311,0.10000000149011612
312,0.0
313,0.10000000149011612
314,0.10000000149011612
315,0.4000000059604645
316,0.20000000298023224
317,0.30000000447034836
318,0.10000000149011612
319,0.7000000104308128
320,1.0000000149011612
321,0.20000000298023224
322,1.1000000163912773
323,1.600000023841858
324,0.09000000171363354
325,1.4000000208616257
326,0.10000000149011612
327,0.10000000149011612
328,0.0
329,0.10000000149011612
330,0.0
331,0.10000000149011612
332,0.20000000298023224
333,0.20000000298023224
334,0.10000000149011612
335,0.30000000447034836
336,0.30000000447034836
337,0.800000011920929
338,0.10000000149011612
339,0.10000000149011612
340,0.10000000149011612
341,0.10000000149011612
342,0.10000000149011612
343,0.10000000149011612
344,0.10000000149011612
345,0.10000000149011612
346,0.10000000149011612
347,0.20000000298023224
348,0.20000000298023224
349,0.10000000149011612
350,0.09000000171363354
351,0.10000000149011612
352,0.0
353,0.20000000298023224
354,0.09000000171363354
355,0.10000000149011612
356,0.10000000149011612
357,0.30000000447034836
358,0.10000000149011612
359,0.20000000298023224
360,0.30000000447034836
361,0.10000000149011612
362,0.9000000134110451
363,0.20000000298023224
364,0.20000000298023224
365,0.4000000059604645
366,2.500000037252903
367,0.6000000089406967
368,0.20000000298023224
369,0.10000000149011612
370,0.10000000149011612
371,0.20000000298023224
372,1.3000000193715096
373,0.10000000149011612
374,0.7000000104308128
375,1.6900000255554914
376,0.4000000059604645
377,0.5000000074505806
378,0.6000000089406967
379,0.30000000447034836
380,0.6000000089406967
381,0.800000011920929
382,0.20000000298023224
383,0.8900000136345625
384,0.10000000149011612
385,0.19000000320374966
386,0.10000000149011612
387,0.10000000149011612
388,0.10000000149011612
389,0.20000000298023224
390,0.7000000104308128
391,0.0
392,0.10000000149011612
393,0.30000000447034836
394,0.10000000149011612
395,0.0
396,0.10000000149011612
397,1.700000025331974
398,2.600000038743019
399,0.30000000447034836
400,2.600000038743019
401,0.9000000134110451
402,2.600000038743019
403,0.9000000134110451
404,0.10000000149011612
405,1.4000000208616257
406,0.6000000089406967
407,2.600000038743019
408,0.9000000134110451
409,2.600000038743019
410,2.600000038743019
411,0.10000000149011612
412,0.30000000447034836
413,2.600000038743019
414,0.30000000447034836
415,0.6000000089406967
416,2.600000038743019
417,2.600000038743019
418,0.30000000447034836
419,2.600000038743019
420,0.6000000089406967
421,1.0900000166147947
422,2.400000035762787
423,2.600000038743019
